Cluster ID,Leader Cells,Follower Cells,Total Cells,Centroid_X,Centroid_Y,Member_Leader_X,Member_Leader_Y,Member_Follower_X,Member_Follower_Y
1,3,1,4,16.35389610389636,88.82375957375956,"[16.27272727272791, 19.0000000000007, 13.666666666666478]","[85.72727272727273, 91.61538461538461, 89.33333333333333]",[16.47619047619036],[88.61904761904762]
2,3,2,5,62.675805566981616,74.89014808720691,"[59.58333333333235, 66.69230769230764, 63.33333333333298]","[75.25, 77.3076923076923, 78.0]","[62.58823529411675, 61.18181818181838]","[73.52941176470588, 70.36363636363636]"
3,5,2,7,164.1896103896107,86.44199134199133,"[160.7, 163.90000000000123, 162.09999999999982, 167.99999999999946, 166.60000000000053]","[88.2, 90.1, 82.4, 88.66666666666667, 84.3]","[162.7272727272731, 165.30000000000084]","[84.72727272727273, 86.7]"
4,6,4,10,327.91118104118124,79.52610334110334,"[324.81818181818346, 322.74999999999994, 331.11111111111177, 327.08333333333366, 332.90909090909105, 330.0]","[76.72727272727273, 82.5, 81.88888888888889, 84.66666666666667, 77.81818181818181, 74.75]","[327.9999999999996, 329.7272727272723, 327.86666666666605, 324.8461538461545]","[78.0, 76.18181818181819, 81.26666666666667, 81.46153846153847]"
5,7,4,11,421.65475685930267,85.33030252575708,"[425.8888888888891, 421.57142857142804, 418.00000000000074, 421.0909090909101, 418.61538461538447, 422.5999999999998, 423.25000000000125]","[89.55555555555556, 75.5, 84.9, 80.9090909090909, 90.46153846153847, 93.2, 86.25]","[421.7142857142861, 421.0952380952377, 420.4761904761908, 423.90000000000055]","[83.57142857142857, 77.47619047619048, 87.80952380952381, 89.0]"
6,3,2,5,245.1260606060608,80.87353535353535,"[248.00000000000017, 246.93333333333413, 241.9999999999997]","[85.0, 77.6, 83.5]","[244.3636363636356, 244.3333333333345]","[77.54545454545455, 80.72222222222223]"
7,1,2,3,401.3585858585861,82.18055555555556,[402.90909090909116],[83.0],"[400.66666666666595, 400.50000000000114]","[80.66666666666667, 82.875]"
8,1,1,2,81.55000000000058,67.1,[81.59999999999951],[67.2],[81.50000000000163],[67.0]
9,3,1,4,444.792540792541,90.77051282051282,"[442.2727272727266, 444.66666666666714, 448.00000000000074]","[89.0, 94.26666666666667, 90.2]",[444.2307692307694],[89.61538461538461]
